ZL.ID,MC.ID
z6-26983,NL_GR
z6-15957,NL_MC
z6-15916,NL_UC
z6-26980,NM_GR
z6-15973,NM_MC
z6-25669,NM_UC
z6-26981,RD_GR
z6-16009,RD_MC
z6-15983,RD_UC
z6-26979,SL_GR
z6-26566,SL_MC
z6-26584,SL_UC
z6-26989,SM_GR
z6-26565,SM_MC
z6-26567,SM_UC
