X,Timestamp,Solar,Wetness.Level.1,Wetness.Level.2,Air.TempC,Vapor.Pressure,VPD,Atmos.Pressure
NA,2024-03-21T01:00:00Z,NA,NA,NA,8.27,NA,NA,NA
NA,2024-03-21T01:15:00Z,NA,NA,NA,10.124,NA,NA,NA
NA,2024-03-21T01:30:00Z,NA,NA,NA,9.879,NA,NA,NA
NA,2024-03-21T01:45:00Z,NA,NA,NA,9.78,NA,NA,NA
NA,2024-03-21T02:00:00Z,NA,NA,NA,10.98,NA,NA,NA
NA,2024-03-21T02:15:00Z,NA,NA,NA,10.59,NA,NA,NA
NA,2024-03-21T02:30:00Z,NA,NA,NA,10.687,NA,NA,NA
NA,2024-03-21T02:45:00Z,NA,NA,NA,11.686,NA,NA,NA
NA,2024-03-21T03:00:00Z,NA,NA,NA,13.522,NA,NA,NA
NA,2024-03-21T03:15:00Z,NA,NA,NA,13.882,NA,NA,NA
NA,2024-03-21T03:30:00Z,NA,NA,NA,13.642,NA,NA,NA
NA,2024-03-21T03:45:00Z,NA,NA,NA,11.71,NA,NA,NA
NA,2024-03-21T04:00:00Z,NA,NA,NA,11.686,NA,NA,NA
NA,2024-03-21T04:15:00Z,NA,NA,NA,12.871,NA,NA,NA
NA,2024-03-21T04:30:00Z,NA,NA,NA,12.098,NA,NA,NA
NA,2024-03-21T04:45:00Z,NA,NA,NA,11.807,NA,NA,NA
NA,2024-03-21T05:00:00Z,NA,NA,NA,12.775,NA,NA,NA
NA,2024-03-21T05:15:00Z,NA,NA,NA,13.209,NA,NA,NA
NA,2024-03-21T05:30:00Z,NA,NA,NA,12.968,NA,NA,NA
NA,2024-03-21T05:45:00Z,NA,NA,NA,12.389,NA,NA,NA
NA,2024-03-21T06:00:00Z,NA,NA,NA,-0.62,NA,NA,NA
NA,2024-03-21T06:00:00Z,NA,NA,NA,12.195,NA,NA,NA
NA,2024-03-21T06:15:00Z,NA,NA,NA,-0.845,NA,NA,NA
NA,2024-03-21T06:15:00Z,NA,NA,NA,11.783,NA,NA,NA
NA,2024-03-21T06:30:00Z,NA,NA,NA,-1.1,NA,NA,NA
NA,2024-03-21T06:30:00Z,NA,NA,NA,11.734,NA,NA,NA
NA,2024-03-21T06:45:00Z,NA,NA,NA,-1.327,NA,NA,NA
NA,2024-03-21T06:45:00Z,NA,NA,NA,11.904,NA,NA,NA
